Item Number,Description,Size 1,Size 2,Store,Dept.,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
787,"Owl key cover 2.5""x1.5""",,,1,3,!Undefined,!Undefined,324,KCP002,3,252,0,0,2.75,1,6.5,-45.5,0,0,20150210,120010,
789,Chi Omega Dad tee,L,RED,1,1,2,!Undefined,310,POPS_1508523,8,0,0,0,10.5,1,23,69,0,0,20150820,120010,
789,Chi Omega Dad tee,L,WHITE,1,1,2,!Undefined,310,POPS_1508523,0,0,0,0,10.5,1,23,0,0,0,0,120010,
789,Chi Omega Dad tee,M,RED,1,1,2,!Undefined,310,POPS_1508523,3,0,0,0,10.5,1,23,0,0,0,0,120010,
789,Chi Omega Dad tee,M,WHITE,1,1,2,!Undefined,310,POPS_1508523,0,0,0,0,10.5,1,23,0,0,0,0,120010,
789,Chi Omega Dad tee,XL,RED,1,1,2,!Undefined,310,POPS_1508523,3,0,0,0,10.5,1,23,46,0,0,20150922,120010,
789,Chi Omega Dad tee,XL,WHITE,1,1,2,!Undefined,310,POPS_1508523,0,0,0,0,10.5,1,23,0,0,0,0,120010,
789,Chi Omega Dad tee,XXL,RED,1,1,2,!Undefined,310,POPS_1508523,6,0,0,0,10.5,1,23,0,0,0,0,120010,
789,Chi Omega Dad tee,XXL,WHITE,1,1,2,!Undefined,310,POPS_1508523,0,0,0,0,10.5,1,23,0,0,0,0,120010,
789,Chi Omega Dad tee,XXXL,RED,1,1,2,!Undefined,310,POPS_1508523,2,0,0,0,10.5,1,23,0,0,0,0,120010,
789,Chi Omega Dad tee,XXXL,WHITE,1,1,2,!Undefined,310,POPS_1508523,0,0,0,0,10.5,1,23,0,0,0,0,120010,
79,XO/MAW philanthropy tee,L,WHITE,1,9,!Undefined,!Undefined,260,79,0,0,0,0,6.91,1,13,0,0,0,20070216,120010,
79,XO/MAW philanthropy tee,M,BLUE,1,9,!Undefined,!Undefined,260,79,0,0,0,0,6.91,1,13,0,0,0,0,120010,
79,XO/MAW philanthropy tee,M,WHITE,1,9,!Undefined,!Undefined,260,79,0,0,0,0,6.91,1,13,0,0,0,20061102,120010,
79,XO/MAW philanthropy tee,S,WHITE,1,9,!Undefined,!Undefined,260,79,0,0,0,0,6.91,1,13,0,0,0,20061214,120010,
79,XO/MAW philanthropy tee,XL,WHITE,1,9,!Undefined,!Undefined,260,79,0,0,0,0,6.91,1,13,0,0,0,20060721,120010,
79,XO/MAW philanthropy tee,XS,WHITE,1,9,!Undefined,!Undefined,260,79,0,0,0,0,6.91,1,13,0,0,0,0,120010,
790,Modeled owl charm,,,1,4,!Undefined,!Undefined,314,CO-NH-7,0,0,0,0,5.5,1,16,-12.5,0,0,20131217,120010,
791,Owl/ Greek letter lavaliere - 18 box cha,,,1,4,!Undefined,!Undefined,314,CO-NH-2N,1,0,0,0,14.95,1,34,68,0,0,20141022,120010,
792,Chrome car emblem,,,1,3,!Undefined,!Undefined,4,AA1093,31,0,0,0,6.95,1,15.5,103.075,0,0,20150819,120010,
792A,Kappa Beta Spiral Bid Day tanks,L,YELLOW,1,7,!Undefined,!Undefined,260,792A,0,0,0,0,14,1,17.5,0,0,0,20120820,120010,
792A,Kappa Beta Spiral Bid Day tanks,M,YELLOW,1,7,!Undefined,!Undefined,260,792A,0,0,0,0,14,1,17.5,0,0,0,20120820,120010,
792A,Kappa Beta Spiral Bid Day tanks,S,YELLOW,1,7,!Undefined,!Undefined,260,792A,0,0,0,0,14,1,17.5,0,0,0,20120820,120010,
792NM,Kappa Beta Pinwheel New Member Bid Day t,L,RED,1,7,!Undefined,!Undefined,260,792NM,0,0,0,0,14,1,17.5,0,0,0,20120820,120010,
792NM,Kappa Beta Pinwheel New Member Bid Day t,M,RED,1,7,!Undefined,!Undefined,260,792NM,0,0,0,0,14,1,17.5,0,0,0,20120820,120010,
792NM,Kappa Beta Pinwheel New Member Bid Day t,S,RED,1,7,!Undefined,!Undefined,260,792NM,0,0,0,0,14,1,17.5,0,0,0,20120820,120010,
793,Custom Founder's cup case,,,1,5,!Undefined,!Undefined,410,793,0,0,0,0,2205,1,2205,0,0,0,0,120010,
794,Custom UNCC Philanthropy tee,L,BLUE,1,9,!Undefined,!Undefined,369,COMFORT COLORS,0,0,0,0,11.65,1,14.75,0,0,0,20131105,120010,
794,Custom UNCC Philanthropy tee,M,BLUE,1,9,!Undefined,!Undefined,369,COMFORT COLORS,0,0,0,0,11.65,1,14.75,0,0,0,20131105,120010,
794,Custom UNCC Philanthropy tee,S,BLUE,1,9,!Undefined,!Undefined,369,COMFORT COLORS,0,0,0,0,11.65,1,14.75,0,0,0,20131105,120010,
794,Custom UNCC Philanthropy tee,XL,BLUE,1,9,!Undefined,!Undefined,369,COMFORT COLORS,0,0,0,0,11.65,1,14.75,0,0,0,20131105,120010,
795,Custom Chi Omega flag/banner (4' X 6'),,,1,5,!Undefined,!Undefined,285,795,0,0,0,0,270,1,300,0,0,0,20140620,120010,
797,Big Sis/Lil Sis charm,,,1,4,!Undefined,!Undefined,314,CO-NH-B-L,0,0,0,0,9.75,1,22,9.75,0,0,20141104,120010,
798,Rho Zeta Spring Formal tee,L,YELLOW,1,7,!Undefined,!Undefined,260,798,0,0,0,0,10.5,1,12.65,0,0,0,20100427,120010,
798,Rho Zeta Spring Formal tee,M,YELLOW,1,7,!Undefined,!Undefined,260,798,0,0,0,0,10.5,1,12.65,0,0,0,20100427,120010,
798,Rho Zeta Spring Formal tee,S,YELLOW,1,7,!Undefined,!Undefined,260,798,0,0,0,0,10.5,1,12.65,0,0,0,20100427,120010,
798,Rho Zeta Spring Formal tee,XL,YELLOW,1,7,!Undefined,!Undefined,260,798,0,0,0,0,10.5,1,12.65,0,0,0,20100427,120010,
798A,Custom Gamma Zeta Life is Good tee,L,YELLOW,1,7,!Undefined,!Undefined,260,798A,0,0,0,0,8.5,1,9.5,0,0,0,20100929,120010,
798A,Custom Gamma Zeta Life is Good tee,M,YELLOW,1,7,!Undefined,!Undefined,260,798A,0,0,0,0,8.5,1,9.5,0,0,0,20100929,120010,
798A,Custom Gamma Zeta Life is Good tee,S,YELLOW,1,7,!Undefined,!Undefined,260,798A,0,0,0,0,8.5,1,9.5,0,0,0,20100929,120010,
798A,Custom Gamma Zeta Life is Good tee,XL,YELLOW,1,7,!Undefined,!Undefined,260,798A,0,0,0,0,8.5,1,9.5,0,0,0,20100929,120010,
798A,Custom Gamma Zeta Life is Good tee,XXL,YELLOW,1,7,!Undefined,!Undefined,260,798A,0,0,0,0,8.5,1,9.5,0,0,0,20100929,120010,
799,Polka Dot Tumbler,,,1,3,!Undefined,!Undefined,4,AA1046,0,221,0,0,2.5,1,5.75,0,0,0,20140815,120010,
7A,XO is all about Miami post its,,,1,7,!Undefined,!Undefined,260,7A,0,0,0,0,0.64,1,0.8,0,0,0,20130328,120010,
7B,XO is all about M,,,1,7,!Undefined,!Undefined,260,7B,0,0,0,0,0.64,1,0.8,0,0,0,20130328,120010,
7BR,XO is all about M,,,1,5,!Undefined,!Undefined,260,7BR,0,0,0,0,0.64,1,0.64,0,0,0,0,120010,
7C,XO is all about Quinnipiac post its,,,1,7,!Undefined,!Undefined,260,7C,0,0,0,0,0.64,1,0.8,0,0,0,0,120010,
7DU,XO is all about DU post it note,,,1,7,!Undefined,!Undefined,260,7DU,0,0,0,0,0.64,1,0.8,0,0,0,20131220,120010,
7WPI,XO is all about WPI,,,1,5,!Undefined,!Undefined,260,7WPI,0,0,0,0,0.64,1,0.64,0,0,0,20130827,120010,
8,XO Gift Bag-small w/tissue,,,1,3,!Undefined,!Undefined,,8,-12,0,0,0,0.8907,1,2.5,49,0,0,20150113,120010,
801,Waffle weave towel wrap w/emb owl and XO,ONE SIZE,GREEN,1,1,12,!Undefined,369,801,0,0,0,0,18,1,38.5,-30,0,0,20140602,120010,
801,Waffle weave towel wrap w/emb owl and XO,ONE SIZE,KEYLIME,1,1,12,!Undefined,369,801,0,0,0,0,18,1,38.5,30,0,0,20150608,120010,
801,Waffle weave towel wrap w/emb owl and XO,ONE SIZE,WHITE,1,1,12,!Undefined,369,801,0,0,0,0,18,1,38.5,0,0,0,0,120010,
802,Custom Mu Zeta Black Fleece jacket,L,BLACK,1,7,!Undefined,!Undefined,88,CHARLES RIVER - 5870,0,0,0,0,25,1,32,0,0,0,20110228,120010,
